dataset	relpath	url	bytes	md5	drop
reads_2022	SRR32696698/SRR32696698_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/098/SRR32696698/SRR32696698_2.fastq.gz	5249523002	08a342bf249bbc3453580e37f9080001	1
reads_2022	SRR32696699/SRR32696699_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/099/SRR32696699/SRR32696699_1.fastq.gz	5762776104	d392f4e7ed6d0b7768d7c2efa2480ad3	1
reads_2022	SRR32696699/SRR32696699_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/099/SRR32696699/SRR32696699_2.fastq.gz	6072570641	0c0b4c98351636c918987073be53c263	1
reads_2022	SRR32696700/SRR32696700_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/000/SRR32696700/SRR32696700_1.fastq.gz	5739004824	98c44b32b5e79582c6a02896f3b6bb7d	1
reads_2022	SRR32696700/SRR32696700_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/000/SRR32696700/SRR32696700_2.fastq.gz	5980725957	bfb98207669ca9f842c658af862fa234	1
reads_2022	SRR32696701/SRR32696701_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR32696701/SRR32696701_1.fastq.gz	6817541258	e48929f88e11a6c288f5d39de014be70	1
reads_2022	SRR32696701/SRR32696701_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR32696701/SRR32696701_2.fastq.gz	7123715277	f1066449f05a47c254bdbf2690b4b89f	1
reads_2022	SRR32696702/SRR32696702_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR32696702/SRR32696702_1.fastq.gz	5367121550	af331396257254382faea09f7bd6357a	1
reads_2022	SRR32696702/SRR32696702_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR32696702/SRR32696702_2.fastq.gz	5635349025	37972d017e5d7d8fb1a7497a680b88f1	1
reads_2022	SRR32696703/SRR32696703_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR32696703/SRR32696703_1.fastq.gz	5682583829	1ec786b746bedf0ff2035cfb1ca10ce5	1
reads_2022	SRR32696703/SRR32696703_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR32696703/SRR32696703_2.fastq.gz	5916159061	6fab38b17282d129c07a9d3aa39d1619	1
reads_2022	SRR32696704/SRR32696704_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR32696704/SRR32696704_1.fastq.gz	5488652988	4548f51931636c42ee774f72c9818041	1
reads_2022	SRR32696704/SRR32696704_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR32696704/SRR32696704_2.fastq.gz	5758963779	98b6b375655c458595c2988f37d75085	1
reads_2022	SRR32696705/SRR32696705_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR32696705/SRR32696705_1.fastq.gz	4408348815	5da011f05ad666f842ee829ec0996229	1
reads_2022	SRR32696705/SRR32696705_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR32696705/SRR32696705_2.fastq.gz	4614527931	ece6efb328bd0b78c5dd226c3b463f2a	1
reads_2022	SRR32696706/SRR32696706_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR32696706/SRR32696706_1.fastq.gz	6802487014	afd9fa0af0a93fb50af27d722796e630	1
