metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
correlation	self	0.15	0.7096	0.45	1288	885	715	0.8079	0.5551	0.6581	0.6871	0.7806	0.1906	0.3064	1.305
correlation	self	0.15	0.7096	0.5	1288	837	697	0.8327	0.5411	0.656	0.6498	0.8078	0.1849	0.3009	1.305
correlation	self	0.15	0.7096	0.55	1288	800	682	0.8525	0.5295	0.6533	0.6211	0.8293	0.1823	0.2989	1.295
correlation	self	0.15	0.7096	0.6	1288	769	665	0.8648	0.5163	0.6466	0.597	0.8455	0.1795	0.2961	1.292
correlation	self	0.15	0.7096	0.65	1288	740	649	0.877	0.5039	0.64	0.5745	0.8576	0.1748	0.2904	1.296
correlation	self	0.15	0.7096	0.7	1288	696	628	0.9023	0.4876	0.6331	0.5404	0.8828	0.1694	0.2842	1.286
correlation	self	0.15	0.7096	0.75	1288	672	616	0.9167	0.4783	0.6286	0.5217	0.8992	0.1664	0.2809	1.285
correlation	self	0.15	0.7096	0.8	1288	640	602	0.9406	0.4674	0.6245	0.4969	0.923	0.1624	0.2763	1.277
correlation	self	0.15	0.7096	0.85	1288	618	588	0.9515	0.4565	0.617	0.4798	0.9362	0.1587	0.2713	1.247
correlation	self	0.15	0.7096	0.9	1288	584	566	0.9692	0.4394	0.6047	0.4534	0.9529	0.1536	0.2645	1.249
correlation	self	0.2	0.8011	0.0	1288	1029	983	0.9553	0.7632	0.8485	0.7989	0.5921	0.2761	0.3766	6.277
correlation	self	0.2	0.8011	0.05	1288	1029	949	0.9223	0.7368	0.8192	0.7989	0.6413	0.2608	0.3708	3.709
correlation	self	0.2	0.8011	0.1	1288	1024	886	0.8652	0.6879	0.7664	0.795	0.6751	0.2427	0.357	2.464
correlation	self	0.2	0.8011	0.15	1288	1016	840	0.8268	0.6522	0.7292	0.7888	0.6866	0.2276	0.3419	1.989
correlation	self	0.2	0.8011	0.2	1288	1000	811	0.811	0.6297	0.7089	0.7764	0.7124	0.22	0.3362	1.689
correlation	self	0.2	0.8011	0.25	1288	971	777	0.8002	0.6033	0.6879	0.7539	0.7226	0.2092	0.3245	1.532
correlation	self	0.2	0.8011	0.3	1288	944	756	0.8008	0.587	0.6774	0.7329	0.7441	0.2042	0.3205	1.434
correlation	self	0.2	0.8011	0.35	1288	913	742	0.8127	0.5761	0.6742	0.7089	0.7735	0.2015	0.3198	1.355
correlation	self	0.2	0.8011	0.4	1288	884	728	0.8235	0.5652	0.6703	0.6863	0.7878	0.1976	0.316	1.328
correlation	self	0.2	0.8011	0.45	1288	855	706	0.8257	0.5481	0.6589	0.6638	0.8006	0.1887	0.3055	1.299
correlation	self	0.2	0.8011	0.5	1288	808	688	0.8515	0.5342	0.6565	0.6273	0.8283	0.183	0.2998	1.301
correlation	self	0.2	0.8011	0.55	1288	776	674	0.8686	0.5233	0.6531	0.6025	0.8475	0.1806	0.2977	1.288
correlation	self	0.2	0.8011	0.6	1288	747	658	0.8809	0.5109	0.6467	0.58	0.863	0.1781	0.2952	1.292
correlation	self	0.2	0.8011	0.65	1288	719	642	0.8929	0.4984	0.6398	0.5582	0.875	0.1734	0.2894	1.295
correlation	self	0.2	0.8011	0.7	1288	679	621	0.9146	0.4821	0.6314	0.5272	0.8955	0.1679	0.2828	1.283
correlation	self	0.2	0.8011	0.75	1288	656	609	0.9284	0.4728	0.6265	0.5093	0.9115	0.165	0.2794	1.281
correlation	self	0.2	0.8011	0.8	1288	625	595	0.952	0.462	0.6221	0.4852	0.935	0.161	0.2747	1.273
correlation	self	0.2	0.8011	0.85	1288	605	582	0.962	0.4519	0.6149	0.4697	0.9474	0.1575	0.2701	1.245
correlation	self	0.2	0.8011	0.9	1288	574	561	0.9774	0.4356	0.6026	0.4457	0.962	0.1526	0.2634	1.247
