metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
euclidean	twin	0.7	19.9705	0.55	1288	317	301	0.9495	0.2337	0.3751	0.2461	0.9324	0.0832	0.1528	1.281
euclidean	twin	0.7	19.9705	0.6	1288	307	295	0.9609	0.229	0.3699	0.2384	0.9433	0.0806	0.1485	1.29
euclidean	twin	0.7	19.9705	0.65	1288	304	292	0.9605	0.2267	0.3668	0.236	0.9444	0.0795	0.1466	1.286
euclidean	twin	0.7	19.9705	0.7	1288	296	289	0.9764	0.2244	0.3649	0.2298	0.9597	0.0784	0.145	1.274
euclidean	twin	0.7	19.9705	0.75	1288	284	279	0.9824	0.2166	0.355	0.2205	0.9668	0.0748	0.1388	1.271
euclidean	twin	0.7	19.9705	0.8	1288	277	274	0.9892	0.2127	0.3502	0.2151	0.9732	0.0732	0.1362	1.271
euclidean	twin	0.7	19.9705	0.85	1288	272	269	0.989	0.2089	0.3449	0.2112	0.9727	0.0728	0.1354	1.272
euclidean	twin	0.7	19.9705	0.9	1288	264	262	0.9924	0.2034	0.3376	0.205	0.9757	0.0713	0.133	1.277
euclidean	twin	0.75	20.7718	0.0	1288	322	318	0.9876	0.2469	0.395	0.25	0.7213	0.0905	0.1608	4.736
euclidean	twin	0.75	20.7718	0.05	1288	322	315	0.9783	0.2446	0.3913	0.25	0.7599	0.0886	0.1587	3.096
euclidean	twin	0.75	20.7718	0.1	1288	322	307	0.9534	0.2384	0.3814	0.25	0.7903	0.0864	0.1557	2.317
euclidean	twin	0.75	20.7718	0.15	1288	321	295	0.919	0.229	0.3667	0.2492	0.8067	0.0829	0.1503	1.854
euclidean	twin	0.75	20.7718	0.2	1288	318	287	0.9025	0.2228	0.3574	0.2469	0.8242	0.081	0.1475	1.56
euclidean	twin	0.75	20.7718	0.25	1288	310	280	0.9032	0.2174	0.3504	0.2407	0.8469	0.0783	0.1434	1.448
euclidean	twin	0.75	20.7718	0.3	1288	303	276	0.9109	0.2143	0.347	0.2352	0.8716	0.0774	0.1421	1.383
euclidean	twin	0.75	20.7718	0.35	1288	297	272	0.9158	0.2112	0.3432	0.2306	0.8858	0.0761	0.1401	1.327
euclidean	twin	0.75	20.7718	0.4	1288	286	269	0.9406	0.2089	0.3418	0.222	0.9164	0.0752	0.1389	1.297
euclidean	twin	0.75	20.7718	0.45	1288	280	263	0.9393	0.2042	0.3355	0.2174	0.9182	0.0736	0.1363	1.293
euclidean	twin	0.75	20.7718	0.5	1288	275	261	0.9491	0.2026	0.334	0.2135	0.9276	0.0732	0.1357	1.298
euclidean	twin	0.75	20.7718	0.55	1288	265	256	0.966	0.1988	0.3297	0.2057	0.9456	0.072	0.1339	1.302
euclidean	twin	0.75	20.7718	0.6	1288	259	252	0.973	0.1957	0.3258	0.2011	0.9521	0.07	0.1304	1.309
euclidean	twin	0.75	20.7718	0.65	1288	256	249	0.9727	0.1933	0.3225	0.1988	0.9535	0.0688	0.1284	1.305
euclidean	twin	0.75	20.7718	0.7	1288	250	246	0.984	0.191	0.3199	0.1941	0.9643	0.0678	0.1267	1.292
euclidean	twin	0.75	20.7718	0.75	1288	240	238	0.9917	0.1848	0.3115	0.1863	0.9733	0.0648	0.1215	1.288
euclidean	twin	0.75	20.7718	0.8	1288	235	234	0.9957	0.1817	0.3073	0.1825	0.977	0.0634	0.1191	1.285
euclidean	twin	0.75	20.7718	0.85	1288	232	231	0.9957	0.1793	0.3039	0.1801	0.9767	0.0631	0.1185	1.284
euclidean	twin	0.75	20.7718	0.9	1288	224	224	1.0	0.1739	0.2963	0.1739	0.9803	0.0616	0.116	1.29
euclidean	twin	0.8	21.9406	0.0	1288	258	257	0.9961	0.1995	0.3325	0.2003	0.7587	0.0703	0.1287	4.279
euclidean	twin	0.8	21.9406	0.05	1288	258	255	0.9884	0.198	0.3299	0.2003	0.7932	0.0687	0.1264	2.938
euclidean	twin	0.8	21.9406	0.1	1288	258	251	0.9729	0.1949	0.3247	0.2003	0.8179	0.068	0.1256	2.248
euclidean	twin	0.8	21.9406	0.15	1288	258	243	0.9419	0.1887	0.3144	0.2003	0.8349	0.0654	0.1212	1.833
euclidean	twin	0.8	21.9406	0.2	1288	255	236	0.9255	0.1832	0.3059	0.198	0.8511	0.0635	0.1182	1.565
euclidean	twin	0.8	21.9406	0.25	1288	250	232	0.928	0.1801	0.3017	0.1941	0.8732	0.0626	0.1168	1.464
euclidean	twin	0.8	21.9406	0.3	1288	245	229	0.9347	0.1778	0.2988	0.1902	0.8973	0.0618	0.1156	1.4
