name,n,E_max,E_min,E_p50,E_p90,E_p99,spread,auroc,p100,p500,single_top100,multichannel_top100,watch_rank,watch_E
lam0=-3 lam1=4 tau=0.1,7974,1.0,0.04817335678776224,0.1766885947698489,0.9837263674788067,0.999997325482058,20.758362436848824,0.7729485913755989,0.67,0.642,0.0,0.96,1376,0.7310585786300049
lam0=-3 lam1=4 tau=0.25,7974,1.0,0.04772390345458894,0.08826452136691307,0.799133883069539,0.9998653860463005,20.95386017515388,0.7709527461102288,0.66,0.616,0.0,0.93,881,0.7310585786300049
lam0=-3 lam1=4 tau=0.5,7974,1.0,0.04757472790701706,0.06584106455475502,0.5586433520627841,0.9959927044193888,21.01956320074937,0.7678775569730252,0.64,0.608,0.0,0.92,513,0.7310585786130014
lam0=-3 lam1=4 tau=1,7974,1.0,0.04750026045127429,0.05613348989746736,0.24145846589899328,0.9008769319910835,21.052516144112488,0.7650235459604917,0.64,0.554,0.0,0.89,145,0.7310549217824192
lam0=-2 lam1=1 tau=0.1,7974,0.9999999999999989,0.11963467869263188,0.16318255199502812,0.4440973000453467,0.8763093066444491,8.358780338009028,0.7729487257895307,0.67,0.642,0.0,0.96,1376,0.2689414213699951
lam0=-2 lam1=1 tau=0.25,7974,0.99999999999995,0.11937567590823203,0.1377918005309708,0.2880697045266097,0.7267593878516498,8.37691592019703,0.7709548295261708,0.66,0.616,0.0,0.93,881,0.2689414213699951
lam0=-2 lam1=1 tau=0.5,7974,0.9999999999683722,0.11928930746594328,0.12863290338845038,0.23306485490718762,0.5321819078115556,8.38298101658331,0.7678789683193084,0.64,0.608,0.0,0.92,513,0.2689414213657442
lam0=-2 lam1=1 tau=1,7974,0.9999999033187306,0.11924611686588327,0.12394803157914268,0.17709191310958078,0.3322010640800747,8.386016497656152,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.2689405071630097
lam0=-2 lam1=2 tau=0.1,7974,1.0,0.1200677860214239,0.2193475069048963,0.8250437983657669,0.9973109371754395,8.328628628344728,0.7729484569616671,0.67,0.642,0.0,0.96,1376,0.5
lam0=-2 lam1=2 tau=0.25,7974,1.0,0.11954864617543229,0.15875699900290968,0.5474678546435595,0.9812288417502313,8.364795687711467,0.7709547623192049,0.66,0.616,0.0,0.93,881,0.5
lam0=-2 lam1=2 tau=0.5,7974,1.0,0.11937574702797739,0.13869141278356303,0.4056033933739787,0.9053222269668249,8.376910929534422,0.7678770865242641,0.64,0.608,0.0,0.92,513,0.49999999998918965
lam0=-2 lam1=2 tau=1,7974,0.9999999999999987,0.1192893252420662,0.12885439660720927,0.25495625034761443,0.6464579389398406,8.382979767642768,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.4999976750954213
lam0=-2 lam1=3 tau=0.1,7974,1.0,0.12050224668857475,0.28818626246994933,0.9653218315221181,0.9999484962489135,8.29860046165275,0.7729516156890629,0.67,0.642,0.0,0.96,1376,0.7310585786300049
lam0=-2 lam1=3 tau=0.25,7974,1.0,0.11972183299622755,0.1822378601225895,0.7834129523606134,0.9990275557495244,8.35269536870113,0.7709518724196726,0.66,0.616,0.0,0.93,881,0.7310585786300049
lam0=-2 lam1=3 tau=0.5,7974,1.0,0.1194622407298245,0.1494015962892116,0.6050957732197177,0.9877113873378908,8.370845832882019,0.7678766832824688,0.64,0.608,0.0,0.92,513,0.7310585786172522
lam0=-2 lam1=3 tau=1,7974,1.0,0.1193325471533694,0.1339252852547172,0.3523953763488237,0.8704852707510465,8.379943476064188,0.7650213281306181,0.64,0.554,0.0,0.89,145,0.7310558359972622
lam0=-2 lam1=4 tau=0.1,7974,1.0,0.12093806336805556,0.36843287901983707,0.9939510401310104,0.9999990160981707,8.268695331730761,0.772951548482097,0.67,0.642,0.0,0.96,1376,0.8807970779778823
lam0=-2 lam1=4 tau=0.25,7974,1.0,0.11989523654297297,0.20833158415645883,0.9153584064126296,0.9999504740796115,8.340614930448709,0.7709520068336043,0.66,0.616,0.0,0.93,881,0.8807970779778823
lam0=-2 lam1=4 tau=0.5,7974,1.0,0.11954878859307971,0.16078445988311174,0.7748072897780618,0.9985220545666019,8.36478572278805,0.7678788339053766,0.64,0.608,0.0,0.92,513,0.8807970779688024
lam0=-2 lam1=4 tau=1,7974,1.0,0.11937578260249554,0.1391638528000704,0.46388720611212797,0.961097059897147,8.376908433177427,0.7650216641654474,0.64,0.554,0.0,0.89,145,0.8807951251635122
